none,under,over,smote
0.587302,0.477612,0.469697,0.458647
0.586777,0.488722,0.465649,0.461538
0.558824,0.488722,0.478261,0.462687
0.587302,0.477612,0.465649,0.461538
0.5625,0.496403,0.465649,0.469697
0.5625,0.510791,0.473684,0.465649
0.555556,0.477612,0.473684,0.465649
0.558824,0.473684,0.469697,0.454545
0.613636,0.457364,0.473684,0.469697
0.558824,0.50365,0.465649,0.465649
0.555556,0.5,0.465649,0.46875
0.555556,0.477612,0.473684,0.476923
0.586777,0.477612,0.465649,0.458647
0.5625,0.50365,0.465649,0.469697
0.5625,0.480916,0.465649,0.458647
0.586777,0.50365,0.465649,0.461538
0.586777,0.473684,0.473684,0.458647
0.555556,0.5,0.478261,0.461538
0.558824,0.477612,0.481481,0.458647
0.555556,0.477612,0.466667,0.461538
0.588235,0.484848,0.469697,0.458647
0.558824,0.477612,0.473684,0.46875
0.5625,0.477612,0.465649,0.461538
0.586777,0.480916,0.465649,0.458647
0.555556,0.457364,0.465649,0.458647
0.558824,0.510791,0.473684,0.458647
0.5625,0.477612,0.473684,0.454545
0.586777,0.50365,0.473684,0.461538
0.558824,0.477612,0.465649,0.454545
0.558824,0.477612,0.465649,0.454545
0.555556,0.477612,0.473684,0.458647
